source,type,number,desc
py,properties,1000,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""journal_entry_product_name"": ""cash"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1000,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1001,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1001,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1002,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1002,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1003,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1003,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1004,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1004,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1005,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1005,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1006,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1006,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1007,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1007,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1008,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1008,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1015,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1015,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1016,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1016,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1200,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1200,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
